ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Altura,Cruce,Dirección Normalizada,COMUNA,XY (CABA),pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
2021-0028,1,2021-03-29,2021,3,29,17:20:00,17,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,COREA AV.,,"TORRES Y TENORIO, PRES.","COREA AV. y TORRES Y TENORIO, PRES.",7,Point (102000.84898999 98412.66166222),-58.44147621,-34.64357704,PEATON-PASAJEROS,PEATON,PASAJEROS
2021-0029,1,2021-03-31,2021,3,31,18:05:00,18,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,"FALCON, RAMON L.,CNEL.",,SAN PEDRITO AV.,"FALCON, RAMON L.,CNEL. y SAN PEDRITO AV.",7,Point (99478.13530470 99680.01615001),-58.46899119,-34.63215432,AUTO-AUTO,AUTO,AUTO
2021-0030,1,2021-04-03,2021,4,3,18:30:00,18,FINOCHIETTO ENRIQUE DR. 1623,CALLE,FINOCHIETTO ENRIQUE DR.,1623.0,,FINOCHIETTO ENRIQUE DR. 1623,4,Point (107009.29363805 99410.79524854),-58.38685612,-34.63455776,PEATON-PASAJEROS,PEATON,PASAJEROS
2021-0031,1,2021-04-07,2021,4,7,10:29:00,10,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,9 DE JULIO AV.,,INDEPENDENCIA AV.,9 DE JULIO AV. e INDEPENDENCIA AV.,1,Point (107535.23922218 101285.66809968),-58.38113667,-34.61765323,PEATON-CARGAS,PEATON,CARGAS
2021-0032,1,2021-04-10,2021,4,10,19:55:00,19,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,"CANTILO, INT.",,"GUIRALDES, INT.","CANTILO, INT. y GUIRALDES, INT.",13,Point (102035.21425502 109304.90133530),-58.44112678,-34.54538956,PEATON-MOTO,PEATON,MOTO
2021-0033,1,2021-04-14,2021,4,14,17:50:00,17,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,AUTOPISTA 25 DE MAYO,,,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,Point (104341.13684161 100202.74307433),-58.41595919,-34.62743346,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2021-0034,1,2021-04-19,2021,4,19,14:40:00,14,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,"ALCORTA, AMANCIO AV.",,ZAVALETA,"ALCORTA, AMANCIO AV. y ZAVALETA",4,Point (105634.57202683 98201.36000813),-58.40184094,-34.64546845,MOTO-CARGAS,MOTO,CARGAS
2021-0035,1,2021-05-03,2021,5,3,09:20:00,9,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,"JANER, ANA MARIA",,LAFUENTE AV.,"JANER, ANA MARIA y LAFUENTE AV.",8,Point (101547.14246919 96946.08308197),-58.44642231,-34.65679806,MOTO-CARGAS,MOTO,CARGAS
2021-0036,1,2021-05-09,2021,5,9,06:00:00,6,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,"PAZ, GRAL. AV.",,MOSCONI GENERAL AV.,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2021-0037,1,2021-05-11,2021,5,11,07:10:00,7,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,MONROE,,"BALBIN, RICARDO, DR. AV.","MONROE y BALBIN, RICARDO, DR. AV.",13,Point (99707.12636872 107441.30935745),-58.46649069,-34.56219075,PEATON-PASAJEROS,PEATON,PASAJEROS
