ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0117,2016-09-03,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43,SD
2016-0118,2016-09-04,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27,2016-09-04 00:00:00
2016-0119,2016-09-04,2016,9,4,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,SD,SD
2016-0122,2016-09-13,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49,2016-09-13 00:00:00
2016-0123,2016-09-14,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58,SD
2016-0124,2016-09-16,2016,9,16,PEATON,PEATON,MASCULINO,67,SD
2016-0125,2016-09-17,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0126,2016-09-18,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37,SD
2016-0126,2016-09-18,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60,SD
2016-0127,2016-09-24,2016,9,24,PEATON,PEATON,MASCULINO,50,SD
2016-0128,2016-10-02,2016,10,2,PEATON,PEATON,FEMENINO,81,2016-10-02 00:00:00
2016-0130,2016-10-04,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29,2016-10-04 00:00:00
2016-0131,2016-10-09,2016,10,9,PEATON,PEATON,MASCULINO,35,SD
2016-0132,2016-10-10,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,2016-10-10 00:00:00
2016-0133,2016-10-14,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,2016-10-25 00:00:00
2016-0134,2016-10-23,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,2016-10-23 00:00:00
2016-0135,2016-10-24,2016,10,24,PEATON,PEATON,MASCULINO,29,2016-10-25 00:00:00
2016-0136,2016-10-25,2016,10,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0137,2016-10-25,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0138,2016-10-27,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33,SD
2016-0139,2016-10-28,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35,SD
2016-0140,2016-10-31,2016,10,31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20,SD
2016-0142,2016-11-05,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46,2016-11-05 00:00:00
2016-0143,2016-11-06,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0144,2016-11-07,2016,11,7,PEATON,PEATON,MASCULINO,83,SD
2016-0145,2016-11-07,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39,2016-11-07 00:00:00
2016-0146,2016-11-09,2016,11,9,PEATON,PEATON,FEMENINO,29,SD
2016-0147,2016-11-16,2016,11,16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55,2016-11-16 00:00:00
2016-0148,2016-11-16,2016,11,16,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0150,2016-11-18,2016,11,18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41,2016-11-18 00:00:00
2016-0151,2016-11-18,2016,11,18,PEATON,PEATON,SD,SD,SD
2016-0152,2016-11-23,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,2016-11-24 00:00:00
2016-0153,2016-11-25,2016,11,25,PEATON,PEATON,FEMENINO,83,2016-11-25 00:00:00
2016-0154,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,SD
2016-0155,2016-11-26,2016,11,26,PEATON,PEATON,FEMENINO,29,SD
2016-0156,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,2016-11-30 00:00:00
2016-0157,2016-12-03,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0159,2016-12-04,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,SD
2016-0160,2016-12-06,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29,2016-12-06 00:00:00
2016-0161,2016-12-06,2016,12,6,PEATON,PEATON,MASCULINO,50,2016-12-06 00:00:00
2016-0162,2016-12-07,2016,12,7,PEATON,PEATON,MASCULINO,38,2017-01-01 00:00:00
2016-0163,2016-12-10,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0164,2016-12-11,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,SD
2016-0165,2016-12-12,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37,SD
2016-0168,2016-12-13,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,2016-12-13 00:00:00
2016-0169,2016-12-15,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,2016-12-16 00:00:00
2016-0170,2016-12-19,2016,12,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21,2016-12-19 00:00:00
2016-0171,2016-12-25,2016,12,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0172,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,2016-12-26 00:00:00
2016-0173,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0174,2016-12-27,2016,12,27,SD,SD,SD,SD,SD
2016-0175,2016-12-27,2016,12,27,PEATON,PEATON,FEMENINO,SD,SD
2016-0176,2016-12-28,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,SD
2016-0177,2016-12-29,2016,12,29,PEATON,PEATON,FEMENINO,27,SD
2016-0178,2016-12-30,2016,12,30,PEATON,PEATON,FEMENINO,7,SD
2017-0001,2017-01-02,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18,2017-01-02 00:00:00
2017-0003,2017-01-05,2017,1,5,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33,2017-01-05 00:00:00
2017-0007,2017-01-11,2017,1,11,PEATON,PEATON,MASCULINO,48,2017-01-11 00:00:00
2017-0008,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,2017-01-16 00:00:00
2017-0009,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,2017-01-16 00:00:00
2017-0010,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,2017-01-16 00:00:00
